DATE,CLVMNACSCAB1GQDE,CLVMNACSCAB1GQES,CLVMNACSCAB1GQFR,CLVMNACSCAB1GQIT
1975-01-01,.,.,954024.0,.
1976-01-01,.,.,995031.0,.
1977-01-01,.,.,1029780.0,.
1978-01-01,.,.,1070905.0,.
1979-01-01,.,.,1108617.0,.
1980-01-01,.,.,1119266.9,.
1981-01-01,.,.,1131198.5,.
1982-01-01,.,.,1159068.4,.
1983-01-01,.,.,1173472.8,.
1984-01-01,.,.,1191996.3,.
1985-01-01,.,.,1212563.7,.
1986-01-01,.,.,1240111.8,.
1987-01-01,.,.,1272061.2,.
1988-01-01,.,.,1330500.2,.
1989-01-01,.,.,1390795.9,.
1990-01-01,.,.,1430914.5,.
1991-01-01,2050800.5,.,1446610.4,.
1992-01-01,2081539.4,.,1468121.8,.
1993-01-01,2060907.3,.,1458042.4,.
1994-01-01,2111790.5,.,1492742.4,.
1995-01-01,2145735.8,711968.9,1526410.2,1412032.0
1996-01-01,2163998.0,730911.3,1547161.3,1428048.7
1997-01-01,2204286.3,757973.2,1583147.4,1456076.6
1998-01-01,2243877.7,791271.7,1640149.0,1479577.9
1999-01-01,2283120.3,826805.2,1693992.7,1502691.4
2000-01-01,2354774.9,870177.8,1764080.0,1564578.6
2001-01-01,2397363.5,904402.0,1798049.6,1591850.5
2002-01-01,2393460.1,929100.8,1819258.7,1595817.1
2003-01-01,2376383.0,956805.9,1834567.9,1599705.7
2004-01-01,2393111.6,986683.3,1880988.7,1618574.4
2005-01-01,2414719.4,1022717.9,1913869.2,1635363.5
2006-01-01,2511258.3,1064678.8,1964662.0,1666440.0
2007-01-01,2588767.7,1103056.7,2011435.4,1688368.1
2008-01-01,2606542.2,1112842.6,2014336.5,1672126.9
2009-01-01,2459468.9,1070964.2,1958255.9,1582948.6
2010-01-01,2558935.0,1072709.0,1993513.6,1609287.5
2011-01-01,2661049.8,1063974.1,2037979.7,1623373.2
2012-01-01,2677499.6,1032490.9,2045370.6,1574383.0
2013-01-01,2692207.0,1018001.5,2059644.1,1545030.6
2014-01-01,2751594.0,1032209.6,2079476.5,1546387.7
2015-01-01,2785748.4,1071832.1,2101278.0,1556166.2
2016-01-01,2845414.1,1104392.0,2121948.0,1578386.8
2017-01-01,2930312.4,1137255.0,2174132.7,1605960.1
2018-01-01,2959726.9,1163236.3,2213667.5,1618470.5
2019-01-01,2992417.7,1186314.5,2255467.7,1626241.7
2020-01-01,2866813.0,1053834.3,2082262.1,1479226.7
2021-01-01,2956381.3,1121313.2,2214785.1,1601867.0
2022-01-01,3012004.3,1186022.1,2270749.5,1664111.4
