STRUCTURE,STRUCTURE_ID,freq: Time frequency,indic_de: Demographic indicator,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag),LAST UPDATE
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1960,7030385,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1961,7064693,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1962,7107904,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1963,7151824,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1964,7199798,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1965,7247804,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1966,7293973,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1967,7350159,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1968,7403837,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1969,7426968,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1970,7455142,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1971,7479030,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1972,7521933,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1973,7566469,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1974,7605760,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1975,7592316,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1976,7565489,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1977,7565561,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1978,7571299,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1979,7553310,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1980,7545539,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1981,7553326,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1982,7584094,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1983,7564185,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1984,7559635,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1985,7563233,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1986,7566736,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1987,7572852,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1988,7576319,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1989,7594315,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1990,7644818,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1991,7710882,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1992,7798899,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1993,7882519,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1994,7928746,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1995,7943489,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1996,7953067,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1997,7964966,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1998,7971116,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,1999,7982461,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2000,8002186,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2001,8020946,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2002,8063640,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2003,8100273,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2004,8142573,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2005,8201359,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2006,8254298,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2007,8282984,,27/11/23 23:00:00
dataflow,ESTAT:DEMO_GIND(1.0),A: Annual,JAN: Population on 1 January - total,AT: Austria,2008,8307989,,27/11/23 23:00:00
