STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag),LAST UPDATE
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2000,,1700,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2001,,1850,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2002,,1940,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2003,,2060,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2004,,2180,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2005,,2310,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2006,,2460,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2007,,2630,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2008,,2850,,d,definition differs (see metadata),22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2009,,2960,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2010,,3090,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2011,,3180,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2012,,3230,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2013,,3260,,d,definition differs (see metadata),22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2014,,3330,,,,22/01/24 23:00:00
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2015,,3410,,,,22/01/24 23:00:00
