Age,M,F
0-4,17860943,16934855
5-9,20424312,19361242
10-14,21133486,20040068
15-19,20218475,19185497
20-24,19993372,18894831
25-29,21329069,20336442
30-34,24886637,24185411
35-39,26572627,26380793
40-44,26180092,26415744
45-49,25424322,26082419
50-54,25174859,26190622
55-59,24554185,26295772
60-64,23303126,26504076
65-69,19776617,24312613
70-74,16129878,21325483
75-79,11333639,15674846
80-84,7698857,12494096
85-89,4349120,8310844
90-94,1616494,3787805
95-99,341158,1080906
100+,32458,144549
