country,iso2c,iso3c,year,NY.GDP.PCAP.CD
Germany,DE,DEU,2022,48717.9911402128
Germany,DE,DEU,2021,51426.7503654421
Germany,DE,DEU,2020,46749.4762280016
Germany,DE,DEU,2019,46805.1384334439
Germany,DE,DEU,2018,47939.2782884504
Germany,DE,DEU,2017,44652.5891722719
Germany,DE,DEU,2016,42136.1207907991
Germany,DE,DEU,2015,41103.2564363768
Germany,DE,DEU,2014,48023.8699845462
Germany,DE,DEU,2013,46298.9229177341
Germany,DE,DEU,2012,43855.8544658618
Germany,DE,DEU,2011,46705.8957963353
Germany,DE,DEU,2010,41572.4559481507
Germany,DE,DEU,2009,41650.3678297162
Germany,DE,DEU,2008,45612.7106221441
Germany,DE,DEU,2007,41640.0808695147
Germany,DE,DEU,2006,36353.8803343631
Germany,DE,DEU,2005,34520.2396492496
Germany,DE,DEU,2004,34106.6581224001
Germany,DE,DEU,2003,30310.3575963774
Germany,DE,DEU,2002,25197.2656001848
Germany,DE,DEU,2001,23628.3272122367
Germany,DE,DEU,2000,23694.7604830673
Germany,DE,DEU,1999,26734.9425369252
Germany,DE,DEU,1998,27289.0593603191
Germany,DE,DEU,1997,26964.0494672673
Germany,DE,DEU,1996,30485.8665482279
Germany,DE,DEU,1995,31658.3493789135
Germany,DE,DEU,1994,27076.60675014
Germany,DE,DEU,1993,25522.6295733618
Germany,DE,DEU,1992,26438.2303888417
Germany,DE,DEU,1991,23357.757725073
Germany,DE,DEU,1990,22303.9613266628
Germany,DE,DEU,1989,17764.376445833
Germany,DE,DEU,1988,17931.2823228876
Germany,DE,DEU,1987,16677.51078816
Germany,DE,DEU,1986,13461.8310034147
Germany,DE,DEU,1985,9429.56921688214
Germany,DE,DEU,1984,9313.16941243118
Germany,DE,DEU,1983,9864.3449403866
Germany,DE,DEU,1982,9913.73764159395
Germany,DE,DEU,1981,10209.0731153846
Germany,DE,DEU,1980,12138.3081034267
Germany,DE,DEU,1979,11281.0233245081
Germany,DE,DEU,1978,9482.04284964716
Germany,DE,DEU,1977,7682.95377492882
Germany,DE,DEU,1976,6634.85689909309
Germany,DE,DEU,1975,6236.3588812986
Germany,DE,DEU,1974,5639.07762129679
Germany,DE,DEU,1973,5046.75510305815
Germany,DE,DEU,1972,3809.98144489456
Germany,DE,DEU,1971,3192.13361563743
Germany,DE,DEU,1970,2761.16683289339
Germany,DE,DEU,1969,
Germany,DE,DEU,1968,
Germany,DE,DEU,1967,
Germany,DE,DEU,1966,
Germany,DE,DEU,1965,
Germany,DE,DEU,1964,
Germany,DE,DEU,1963,
Germany,DE,DEU,1962,
Germany,DE,DEU,1961,
Germany,DE,DEU,1960,
