country,iso2c,iso3c,year,NY.GDP.PCAP.CD
Spain,ES,ESP,2022,29674.5442864413
Spain,ES,ESP,2021,30488.8209528797
Spain,ES,ESP,2020,26984.2962770279
Spain,ES,ESP,2019,29581.5185513299
Spain,ES,ESP,2018,30379.7211126422
Spain,ES,ESP,2017,28185.3213671969
Spain,ES,ESP,2016,26537.1594894542
Spain,ES,ESP,2015,25754.36102944
Spain,ES,ESP,2014,29513.6511800405
Spain,ES,ESP,2013,29077.1820557563
Spain,ES,ESP,2012,28322.9465923276
Spain,ES,ESP,2011,31677.9003083652
Spain,ES,ESP,2010,30532.4805081656
Spain,ES,ESP,2009,32169.5028548583
Spain,ES,ESP,2008,35510.7222312701
Spain,ES,ESP,2007,32591.3503065871
Spain,ES,ESP,2006,28389.0785799873
Spain,ES,ESP,2005,26429.1509449319
Spain,ES,ESP,2004,24907.0008505856
Spain,ES,ESP,2003,21510.8362454011
Spain,ES,ESP,2002,17106.686576658
Spain,ES,ESP,2001,15369.0011599444
Spain,ES,ESP,2000,14749.6874248766
Spain,ES,ESP,1999,15720.6405016061
Spain,ES,ESP,1998,15394.3514628249
Spain,ES,ESP,1997,14730.7971752046
Spain,ES,ESP,1996,16109.0843985284
Spain,ES,ESP,1995,15471.962716535
Spain,ES,ESP,1994,13415.2870010456
Spain,ES,ESP,1993,13339.908563675
Spain,ES,ESP,1992,16112.1889152156
Spain,ES,ESP,1991,14811.9028194881
Spain,ES,ESP,1990,13804.8767869937
Spain,ES,ESP,1989,10681.9712029257
Spain,ES,ESP,1988,9703.1238381095
Spain,ES,ESP,1987,8239.6138016479
Spain,ES,ESP,1986,6513.50328578924
Spain,ES,ESP,1985,4699.65576367274
Spain,ES,ESP,1984,4489.98893854814
Spain,ES,ESP,1983,4478.50028561471
Spain,ES,ESP,1982,5159.70864500142
Spain,ES,ESP,1981,5371.16643640984
Spain,ES,ESP,1980,6208.5780190814
Spain,ES,ESP,1979,5770.21461386463
Spain,ES,ESP,1978,4356.43922031196
Spain,ES,ESP,1977,3627.59066324096
Spain,ES,ESP,1976,3279.31267061507
Spain,ES,ESP,1975,3209.83744506281
Spain,ES,ESP,1974,2749.92466346596
Spain,ES,ESP,1973,2247.55337693219
Spain,ES,ESP,1972,1708.80862877366
Spain,ES,ESP,1971,1362.16552414021
Spain,ES,ESP,1970,1212.28932639401
Spain,ES,ESP,1969,1077.67869994591
Spain,ES,ESP,1968,950.545740593734
Spain,ES,ESP,1967,968.306781765983
Spain,ES,ESP,1966,889.659872011529
Spain,ES,ESP,1965,774.761609330096
Spain,ES,ESP,1964,675.241639141208
Spain,ES,ESP,1963,609.487384056513
Spain,ES,ESP,1962,520.206131380005
Spain,ES,ESP,1961,450.053289246968
Spain,ES,ESP,1960,396.392253337614
