country,iso2c,iso3c,year,NY.GDP.PCAP.CD
Italy,IT,ITA,2022,34776.423234274
Italy,IT,ITA,2021,36449.2583375837
Italy,IT,ITA,2020,31922.9191626183
Italy,IT,ITA,2019,33673.7509627421
Italy,IT,ITA,2018,34622.1696664741
Italy,IT,ITA,2017,32406.7203150134
Italy,IT,ITA,2016,30960.7315088902
Italy,IT,ITA,2015,30242.3861352184
Italy,IT,ITA,2014,35565.7213771496
Italy,IT,ITA,2013,35560.0814062288
Italy,IT,ITA,2012,35051.5212697703
Italy,IT,ITA,2011,38649.6394836789
Italy,IT,ITA,2010,36035.6449950691
Italy,IT,ITA,2009,37226.7571935402
Italy,IT,ITA,2008,40944.9124194678
Italy,IT,ITA,2007,37870.7475070969
Italy,IT,ITA,2006,33529.7266014361
Italy,IT,ITA,2005,32055.0920757503
Italy,IT,ITA,2004,31317.2007943296
Italy,IT,ITA,2003,27526.3224609957
Italy,IT,ITA,2002,22376.2978989329
Italy,IT,ITA,2001,20500.9543995672
Italy,IT,ITA,2000,20137.5912217673
Italy,IT,ITA,1999,22005.0545405773
Italy,IT,ITA,1998,22318.1373007109
Italy,IT,ITA,1997,21829.3458226222
Italy,IT,ITA,1996,23081.6046757702
Italy,IT,ITA,1995,20664.5522701724
Italy,IT,ITA,1994,19337.6308996383
Italy,IT,ITA,1993,18738.7638969132
Italy,IT,ITA,1992,23243.4745277206
Italy,IT,ITA,1991,21956.5297707332
Italy,IT,ITA,1990,20825.7842228307
Italy,IT,ITA,1989,16386.6622120866
Italy,IT,ITA,1988,15744.6612635428
Italy,IT,ITA,1987,14234.7286380474
Italy,IT,ITA,1986,11315.0151767923
Italy,IT,ITA,1985,7990.68656551182
Italy,IT,ITA,1984,7739.71528361795
Italy,IT,ITA,1983,7832.5753867885
Italy,IT,ITA,1982,7556.52343693203
Italy,IT,ITA,1981,7622.83332844583
Italy,IT,ITA,1980,8456.91897443827
Italy,IT,ITA,1979,6990.28580671461
Italy,IT,ITA,1978,5610.49809928171
Italy,IT,ITA,1977,4603.59970127027
Italy,IT,ITA,1976,4033.09935444585
Italy,IT,ITA,1975,4106.99386771403
Italy,IT,ITA,1974,3621.14582247876
Italy,IT,ITA,1973,3205.25204038444
Italy,IT,ITA,1972,2671.1373144713
Italy,IT,ITA,1971,2305.60975059607
Italy,IT,ITA,1970,2106.86395924945
Italy,IT,ITA,1969,1813.38812575706
Italy,IT,ITA,1968,1651.93937679756
Italy,IT,ITA,1967,1533.69287748547
Italy,IT,ITA,1966,1402.44235441032
Italy,IT,ITA,1965,1304.45381661965
Italy,IT,ITA,1964,1222.5445404629
Italy,IT,ITA,1963,1126.01933699825
Italy,IT,ITA,1962,990.26015216342
Italy,IT,ITA,1961,887.336744604475
Italy,IT,ITA,1960,804.492623346178
