country,iso2c,iso3c,year,NY.GDP.PCAP.CD
United Kingdom,GB,GBR,2022,46125.2557513568
United Kingdom,GB,GBR,2021,46869.759058411
United Kingdom,GB,GBR,2020,40217.0090116986
United Kingdom,GB,GBR,2019,42662.5353740311
United Kingdom,GB,GBR,2018,43203.8141057739
United Kingdom,GB,GBR,2017,40572.1214823783
United Kingdom,GB,GBR,2016,40985.2351382417
United Kingdom,GB,GBR,2015,44964.3911437292
United Kingdom,GB,GBR,2014,47439.6165895125
United Kingdom,GB,GBR,2013,43426.2981405143
United Kingdom,GB,GBR,2012,42497.3404974322
United Kingdom,GB,GBR,2011,42109.6418795749
United Kingdom,GB,GBR,2010,39598.957119545
United Kingdom,GB,GBR,2009,38744.131693043
United Kingdom,GB,GBR,2008,47396.1202078484
United Kingdom,GB,GBR,2007,50397.6854954706
United Kingdom,GB,GBR,2006,44512.4590296865
United Kingdom,GB,GBR,2005,42104.7884375024
United Kingdom,GB,GBR,2004,40366.8886650968
United Kingdom,GB,GBR,2003,34442.6875402308
United Kingdom,GB,GBR,2002,30077.741432188
United Kingdom,GB,GBR,2001,27906.5695029641
United Kingdom,GB,GBR,2000,28280.926786099
United Kingdom,GB,GBR,1999,28762.0913570256
United Kingdom,GB,GBR,1998,28274.5045119699
United Kingdom,GB,GBR,1997,26766.0056249684
United Kingdom,GB,GBR,1996,24406.400298359
United Kingdom,GB,GBR,1995,23168.9529580171
United Kingdom,GB,GBR,1994,19709.2380983653
United Kingdom,GB,GBR,1993,18389.0195675099
United Kingdom,GB,GBR,1992,20487.1707852878
United Kingdom,GB,GBR,1991,19900.7266505069
United Kingdom,GB,GBR,1990,19095.4669984608
United Kingdom,GB,GBR,1989,16239.2821960944
United Kingdom,GB,GBR,1988,15987.1680775688
United Kingdom,GB,GBR,1987,13118.586534629
United Kingdom,GB,GBR,1986,10611.112210096
United Kingdom,GB,GBR,1985,8652.21654247593
United Kingdom,GB,GBR,1984,8179.19444064991
United Kingdom,GB,GBR,1983,8691.51881306514
United Kingdom,GB,GBR,1982,9146.07735701852
United Kingdom,GB,GBR,1981,9599.30622221965
United Kingdom,GB,GBR,1980,10032.062080015
United Kingdom,GB,GBR,1979,7804.76208051155
United Kingdom,GB,GBR,1978,5976.93816899991
United Kingdom,GB,GBR,1977,4681.43993173038
United Kingdom,GB,GBR,1976,4138.16778761535
United Kingdom,GB,GBR,1975,4299.74561799284
United Kingdom,GB,GBR,1974,3665.8627976419
United Kingdom,GB,GBR,1973,3426.27622050378
United Kingdom,GB,GBR,1972,3030.43251411977
United Kingdom,GB,GBR,1971,2649.80151387223
United Kingdom,GB,GBR,1970,2347.54431773747
United Kingdom,GB,GBR,1969,2100.66786858672
United Kingdom,GB,GBR,1968,1951.75859587532
United Kingdom,GB,GBR,1967,2058.78188198056
United Kingdom,GB,GBR,1966,1986.74715869685
United Kingdom,GB,GBR,1965,1873.56777435421
United Kingdom,GB,GBR,1964,1748.2881176141
United Kingdom,GB,GBR,1963,1613.45688373392
United Kingdom,GB,GBR,1962,1525.77585271032
United Kingdom,GB,GBR,1961,1472.38571407868
United Kingdom,GB,GBR,1960,1397.5948032844
